Order_ID,Product,Category,Region,Customer,Sales,Quantity,Profit,Date
AR-56596212-77,Meta Quest 3,Devices,Sweden,Arjun Mehta,2295.4,5,475.04,2025-07-10
AR-53938456-44,MacBook Air M3,Computers,Germany,Lily Thompson,6495,5,898.28,2025-07-15
AR-19500966-35,Oura Ring 4,Wearables,United States,Emma Clark,1101.24,3,238.72,2025-05-22
AR-65624872-12,Dell XPS 13,Computers,United States,Arjun Mehta,5179.68,4,686.46,2025-04-26
AR-86602969-74,Galaxy Buds3 Pro,Audio,Germany,Lucas Young,796,4,184.6,2025-06-16
AR-37826879-59,Galaxy Buds3 Pro,Audio,United Kingdom,Lucas Young,409.94,2,89.38,2025-04-28
AR-10933470-68,MacBook Air M3,Computers,Turkey,Arjun Mehta,4780.32,4,1018.34,2025-07-27
AR-59535941-64,iPhone 15 Pro Max,Devices,Spain,Lucas Young,6995,5,1819.96,2025-08-05
AR-70639773-24,Meta Quest 3,Devices,India,Ethan Walker,918.16,2,114.22,2025-07-06
AR-49341299-31,Apple Vision Pro,Devices,Turkey,Noah Martin,6998,2,1177.28,2025-07-13
AR-38079162-49,Apple Vision Pro,Devices,India,Mia Wilson,11336.76,3,2835.72,2025-04-20
AR-98107239-12,iPhone 15 Pro Max,Devices,United Kingdom,Mia Wilson,5148.32,4,1028.03,2025-07-25
AR-48364875-69,Apple Vision Pro,Devices,Germany,Lily Thompson,3219.08,1,455.45,2025-07-20
AR-19123602-64,AirPods Pro,Audio,India,Sophia Brown,1145,5,308.45,2025-09-23
AR-95499830-15,MacBook Air M3,Computers,Spain,Emma Clark,1299,1,292.97,2025-06-14
AR-52605615-17,Apple Watch Series 10,Wearables,United States,Amelia Davis,1287,3,200.52,2025-08-09
AR-77499438-27,AirPods Pro,Audio,Sweden,Emma Clark,222.13,1,37.75,2025-07-29
AR-96030465-97,Apple Vision Pro,Devices,Spain,Amelia Davis,18894.6,5,4596.23,2025-06-18
AR-40016130-29,Logitech MX Keys,Accessories,United States,Noah Martin,545,5,141.93,2025-04-16
AR-72659869-99,iPhone 15 Pro Max,Devices,Turkey,Sophia Brown,7204.85,5,1928.36,2025-06-06
AR-22697656-91,Oura Ring 4,Wearables,India,Sophia Brown,1197,3,181.71,2025-06-24
